quote_number,quote_revision,item_id,workflow_status,part_number,revision,description,type,material,process,is_fully_configured,part_uuid,export_controlled,quantity,unit_price,total_price,total_price_with_add_ons,lead_time
7913,,7422275,completed,0043-03132,01,COV PROCESS GL,assembled,Aluminum 5052-H32,SM - Assy,True,f529a0e4-86b8-47be-9fbe-31ed78f8d1dd,False,50,105.0,5250.0,6450.0,65
7913,,7451543,completed,0043-03257,01,"EMO MOUNT, MF SIDE",manufactured,CRS,SM - Piece W/HDWE,True,be631d50-3743-44b2-93e5-941372b5b5e5,False,1,619.0,619.0,1319.0,61
7913,,7451543,completed,0043-03257,01,"EMO MOUNT, MF SIDE",manufactured,CRS,SM - Piece W/HDWE,True,be631d50-3743-44b2-93e5-941372b5b5e5,False,10,85.5,855.0,1555.0,62
7913,,7451543,completed,0043-03257,01,"EMO MOUNT, MF SIDE",manufactured,CRS,SM - Piece W/HDWE,True,be631d50-3743-44b2-93e5-941372b5b5e5,False,25,49.84,1246.0,1946.0,62
7913,,7451543,completed,0043-03257,01,"EMO MOUNT, MF SIDE",manufactured,CRS,SM - Piece W/HDWE,True,be631d50-3743-44b2-93e5-941372b5b5e5,False,50,37.96,1898.0,2598.0,63
7913,,7422277,completed,0043-03258,01,"COV PROCESS GL,  W/EMO INTG",assembled,Aluminum 5052-H32,SM - Assy,True,8857f5f3-999d-4158-953e-ba8ef1b1c4c4,False,1,931.0,931.0,2131.0,61
7913,,7422277,completed,0043-03258,01,"COV PROCESS GL,  W/EMO INTG",assembled,Aluminum 5052-H32,SM - Assy,True,8857f5f3-999d-4158-953e-ba8ef1b1c4c4,False,10,173.0,1730.0,2930.0,62
7913,,7422277,completed,0043-03258,01,"COV PROCESS GL,  W/EMO INTG",assembled,Aluminum 5052-H32,SM - Assy,True,8857f5f3-999d-4158-953e-ba8ef1b1c4c4,False,25,123.0,3075.0,4275.0,63
7913,,7422277,completed,0043-03258,01,"COV PROCESS GL,  W/EMO INTG",assembled,Aluminum 5052-H32,SM - Assy,True,8857f5f3-999d-4158-953e-ba8ef1b1c4c4,False,50,106.0,5300.0,6500.0,65
7914,,7422329,not_started,0040-21188,01,WALL RIGHT SECONDARY ENCLOSURE,manufactured,CRS,SM - Piece W/HDWE,True,f4986530-3c03-4061-91c1-d3b1d7967ee6,False,1,839.0,839.0,2639.0,50
7914,,7422329,not_started,0040-21188,01,WALL RIGHT SECONDARY ENCLOSURE,manufactured,CRS,SM - Piece W/HDWE,True,f4986530-3c03-4061-91c1-d3b1d7967ee6,False,2,420.0,840.0,2640.0,41
