ID,ModelID,Name,IsActive,Type,CrossFilteringBehavior,JoinOnDateBehavior,RelyOnReferentialIntegrity,FromTableID,FromColumnID,FromCardinality,ToTableID,ToColumnID,ToCardinality,State,RelationshipStorageID,RelationshipStorage2ID,ModifiedTime,RefreshedTime,SecurityFilteringBehavior
337,1,"3be421ec-00d5-4afd-a737-b7182712fa07",True,1,1,2,False,81,729,2,84,730,1,1,13480,,5/13/2025 2:11:25 AM,5/13/2025 2:11:25 AM,1
338,1,"74bc7b63-f1a1-4abc-9f38-55dbc50e575c",True,1,1,2,False,81,743,2,87,744,1,1,13482,,5/13/2025 2:11:23 AM,5/13/2025 2:11:23 AM,1
339,1,"9c637f4e-9362-4419-88a8-bf745a773c4b",True,1,1,2,False,81,798,2,90,799,1,1,13484,,5/13/2025 2:11:23 AM,5/13/2025 2:11:23 AM,1
340,1,"2cc8dce1-5ef3-4770-ac16-c97029c73727",True,1,1,2,False,81,817,2,93,818,1,1,13486,,5/13/2025 2:11:23 AM,5/13/2025 2:11:23 AM,1
341,1,"a1c42c5c-d3c2-45dc-8a26-886c21d64528",True,1,1,2,False,81,825,2,96,826,1,1,13488,,5/13/2025 2:11:23 AM,5/13/2025 2:11:23 AM,1
342,1,"3a4e5dc9-eee5-4623-8f9a-b3619c42eeca",True,1,1,2,False,81,833,2,99,834,1,1,13490,,5/13/2025 2:11:23 AM,5/13/2025 2:11:23 AM,1
343,1,"29f8d49a-ee19-4d2d-a601-25add7135a92",True,1,1,2,False,81,841,2,102,842,1,1,13492,,5/13/2025 2:11:23 AM,5/13/2025 2:11:23 AM,1
344,1,"a23b7e0c-ab16-4f98-a34c-92bee3cb2344",True,1,1,2,False,105,907,2,108,908,1,1,13494,,5/13/2025 2:11:22 AM,5/13/2025 2:11:22 AM,1
345,1,"f2f71a45-6ec0-4eb6-a9b2-d176a0aefb29",True,1,1,2,False,105,915,2,111,916,1,1,13496,,5/13/2025 2:11:22 AM,5/13/2025 2:11:22 AM,1
346,1,"f99d6751-994b-4215-af89-9cd548ca4d4f",True,1,1,2,False,105,927,2,114,928,1,1,13498,,5/13/2025 2:11:22 AM,5/13/2025 2:11:22 AM,1
