quote_number,quote_revision,quote_status,quote_due_date,quote_created,item_id,part_number,revision,description,quantity,unit_price,total_price,lead_time,material,process,is_fully_configured,part_uuid,export_controlled
7477,,outstanding,2025-04-15T17:00:00+00:00,2025-04-09T17:21:20.587807+00:00,6909945,,,,,,,,,,,,False
7477,,outstanding,2025-04-15T17:00:00+00:00,2025-04-09T17:21:20.587807+00:00,6909628,,,,,,,,,,,,False
7477,,outstanding,2025-04-15T17:00:00+00:00,2025-04-09T17:21:20.587807+00:00,6909587,,,,,,,,,,,,False
7478,,outstanding,2025-04-15T17:00:00+00:00,2025-04-09T17:26:55.531079+00:00,6870527,,,,,,,,,,,,False
7479,,outstanding,2025-04-15T17:00:00+00:00,2025-04-09T17:55:40.396350+00:00,6871021,,,,,,,,,,,,False
7480,,outstanding,2025-04-28T17:00:00+00:00,2025-04-09T18:03:25.980745+00:00,6871187,,,,,,,,,,,,False
7481,,expired,2025-04-12T18:07:43.127983+00:00,2025-04-09T18:07:43.140117+00:00,6871263,,,,,,,,,,,,True
7482,,trash,2025-04-14T17:00:00+00:00,2025-04-09T18:11:29.826989+00:00,6872090,,,,,,,,,,,,False
7483,,outstanding,2025-04-16T17:00:00+00:00,2025-04-09T18:18:07.020258+00:00,6871652,,,,,,,,,,,,False
7484,,expired,2025-04-15T17:00:00+00:00,2025-04-09T18:26:19.318163+00:00,6871819,,,,,,,,,,,,True
7484,,expired,2025-04-15T17:00:00+00:00,2025-04-09T18:26:19.318163+00:00,6871822,,,,,,,,,,,,True
7484,,expired,2025-04-15T17:00:00+00:00,2025-04-09T18:26:19.318163+00:00,6871826,,,,,,,,,,,,True
7484,,expired,2025-04-15T17:00:00+00:00,2025-04-09T18:26:19.318163+00:00,6871830,,,,,,,,,,,,True
7484,,expired,2025-04-15T17:00:00+00:00,2025-04-09T18:26:19.318163+00:00,6871832,,,,,,,,,,,,True
7484,,expired,2025-04-15T17:00:00+00:00,2025-04-09T18:26:19.318163+00:00,6871982,,,,,,,,,,,,True
7485,,expired,2025-04-12T21:30:19.253227+00:00,2025-04-09T21:30:19.265456+00:00,6875048,,,,,,,,,,,,False
7486,,expired,2025-04-11T17:00:00+00:00,2025-04-10T19:59:58.843649+00:00,6885547,,,,,,,,,,,,True
7487,,expired,2025-04-22T17:00:00+00:00,2025-04-10T20:15:05.857683+00:00,6885904,,,,,,,,,,,,True
7488,,cancelled,2025-04-22T17:00:00+00:00,2025-04-10T20:18:21.846092+00:00,6886034,,,,,,,,,,,,True
7489,,expired,2025-04-25T17:00:00+00:00,2025-04-10T20:21:54.103526+00:00,6886100,,,,,,,,,,,,True
7490,,expired,2025-04-13T20:26:07.241322+00:00,2025-04-10T20:26:07.252429+00:00,6886188,,,,,,,,,,,,True
7491,,cancelled,2025-04-24T17:00:00+00:00,2025-04-10T20:32:02.266498+00:00,6886317,,,,,,,,,,,,True
7492,,outstanding,2025-04-18T17:00:00+00:00,2025-04-10T20:34:27.025730+00:00,6886364,,,,,,,,,,,,False
7493,,outstanding,2025-04-17T17:00:00+00:00,2025-04-10T20:41:50.534961+00:00,6886530,,,,,,,,,,,,False
7493,,outstanding,2025-04-17T17:00:00+00:00,2025-04-10T20:41:50.534961+00:00,6886398,,,,,,,,,,,,False
7493,,outstanding,2025-04-17T17:00:00+00:00,2025-04-10T20:41:50.534961+00:00,6886399,,,,,,,,,,,,False
7493,,outstanding,2025-04-17T17:00:00+00:00,2025-04-10T20:41:50.534961+00:00,6886400,,,,,,,,,,,,False
7493,,outstanding,2025-04-17T17:00:00+00:00,2025-04-10T20:41:50.534961+00:00,6886401,,,,,,,,,,,,False
7493,,outstanding,2025-04-17T17:00:00+00:00,2025-04-10T20:41:50.534961+00:00,6886402,,,,,,,,,,,,False
7493,,outstanding,2025-04-17T17:00:00+00:00,2025-04-10T20:41:50.534961+00:00,6952273,,,,,,,,,,,,False
7493,,outstanding,2025-04-17T17:00:00+00:00,2025-04-10T20:41:50.534961+00:00,6886404,,,,,,,,,,,,False
7493,,outstanding,2025-04-17T17:00:00+00:00,2025-04-10T20:41:50.534961+00:00,6886405,,,,,,,,,,,,False
7493,,outstanding,2025-04-17T17:00:00+00:00,2025-04-10T20:41:50.534961+00:00,6952458,,,,,,,,,,,,False
7493,,outstanding,2025-04-17T17:00:00+00:00,2025-04-10T20:41:50.534961+00:00,6952480,,,,,,,,,,,,False
7493,,outstanding,2025-04-17T17:00:00+00:00,2025-04-10T20:41:50.534961+00:00,6886408,,,,,,,,,,,,False
7493,,outstanding,2025-04-17T17:00:00+00:00,2025-04-10T20:41:50.534961+00:00,6952483,,,,,,,,,,,,False
7494,,outstanding,2025-04-18T17:00:00+00:00,2025-04-11T10:39:18.893586+00:00,6888819,,,,,,,,,,,,False
7495,,expired,2025-04-17T17:00:00+00:00,2025-04-11T19:10:56.885094+00:00,6896984,,,,,,,,,,,,False
7495,,expired,2025-04-17T17:00:00+00:00,2025-04-11T19:10:56.885094+00:00,6896985,,,,,,,,,,,,False
7496,,expired,2025-04-18T17:00:00+00:00,2025-04-11T19:15:52.703563+00:00,6897127,,,,,,,,,,,,False
7496,,expired,2025-04-18T17:00:00+00:00,2025-04-11T19:15:52.703563+00:00,6910317,,,,,,,,,,,,False
7497,,accepted,2025-04-20T17:00:00+00:00,2025-04-11T19:21:34.795296+00:00,6897286,,,,,,,,,,,,False
7498,,outstanding,2025-04-14T19:26:02.141597+00:00,2025-04-11T19:26:02.157618+00:00,6899262,,,,,,,,,,,,False
7499,,outstanding,2025-04-14T19:29:48.053890+00:00,2025-04-11T19:29:48.062299+00:00,6897359,,,,,,,,,,,,False
